Nome;Partido;UF;Período
Acir Gurgacz;PDT;RO;2019
Aécio Neves;PSDB;MG;2019
Alessandro Vieira;CIDADANIA;SE;2019
Aloysio Nunes Ferreira;PSDB;SP;2019
Alvaro Dias;PODE;PR;2019
Ana Amélia;PP;RS;2019
Ângela Portela;PDT;RR;2019
Angelo Coronel;PSD;BA;2019
Antonio Anastasia;PSDB;MG;2019
Antônio Carlos Valadares;PSB;SE;2019
Armando Monteiro;PTB;PE;2019
Ataídes Oliveira;PSDB;TO;2019
Arolde de Oliveira;PSD;RJ;2019
Benedito de Lira;PP;AL;2019
Blairo Maggi;PR;MT;2019
Cássio Cunha Lima;PSDB;PB;2019
Carlos Viana;PSD;MG;2019
Chico Rodrigues;DEM;RR;2019
Cid Gomes;PDT;CE;2019
Ciro Nogueira;PP;PI;2019
Confúcio Moura;MDB;RO;2019
Daniella Ribeiro;PP;PB;2019
Dalirio Beber;PSDB;SC;2019
Dário Berger;MDB;SC;2019
Davi Alcolumbre;DEM;AP;2019
Edison Lobão;MDB;MA;2019
Eduardo Amorim;PSDB;SE;2019
Eduardo Braga;MDB;AM;2019
Eduardo Girão;PODE;CE;2019
Eduardo Gomes;MDB;TO;2019
Eliziane Gama;CIDADANIA;MA;2019
Elmano Férrer;PODE;PI;2019
Esperidião Amin;PP;SC;2019
Fabiano Contarato;REDE;ES;2019
Fernando Bezerra Coelho;MDB;PE;2019
Fernando Collor;PTC;AL;2019
Flávio Arns;REDE;PR;2019
Flávio Bolsonaro;PSL;RJ;2019
Flexa Ribeiro;PSDB;PA;2019
Garibaldi Alves Filho;MDB;RN;2019
Gleisi Hoffmann;PT;PR;2019
Guaracy Silveira;PSL;TO;2019
Hélio José;PROS;DF;2019
Humberto Costa;PT;PE;2019
Irajá;PSD;TO;2019
Ivo Cassol;PP;RO;2019
Izalci Lucas;PSDB;DF;2019
Jader Barbalho;MDB;PA;2019
Jaques Wagner;PT;BA;2019
Jarbas Vasconcelos;MDB;PE;2019
Jayme Campos;DEM;MT;2019
Jean Paul Prates;PT;RN;2019
Jorge Kajuru;PSB;GO;2019
Jorginho Mello;PR;SC;2019
João Alberto Souza;MDB;MA;2019
João Capiberibe;PSB;AP;2019
Jorge Viana;PT;AC;2019
José Agripino;DEM;RN;2019
José Maranhão;MDB;PB;2019
José Medeiros;PODE;MT;2019
José Pimentel;PT;CE;2019
José Serra;PSDB;SP;2019
Juíza Selma;PSL;MT;2019
Kátia Abreu;PDT;TO;2019
Lasier Martins;PODE;RS;2019
Lídice da Mata;PSB;BA;2019
Lindbergh Farias;PT;RJ;2019
Leila Barros;PSB;DF;2019
Lucas Barreto;PSD;AP;2019
Lúcia Vânia;PSB;GO;2019
Luis Carlos Heinze;PP;RS;2019
Luiz do Carmo;MDB;GO;2019
Magno Malta;PR;ES;2019
Mailza Gomes;PP;AC;2019
Major Olimpio;PSL;SP;2019
Mara Gabrilli;PSDB;SP;2019
Marcelo Castro;MDB;PI;2019
Marcio Bittar;MDB;AC;2019
Marcos do Val;CIDADANIA;ES;2019
Marcos Rogério;DEM;RO;2019
Maria do Carmo Alves;DEM;SE;2019
Marta Suplicy;MDB;SP;2019
Mecias de Jesus;PRB;RR;2019
Nelsinho Trad;PSD;MS;2019
Omar Aziz;PSD;AM;2019
Oriovisto Guimarães;PODE;PR;2019
Otto Alencar;PSD;BA;2019
Paulo Bauer;PSDB;SC;2019
Paulo Paim;PT;RS;2019
Paulo Rocha;PT;PA;2019
Pedro Chaves;PRB;MS;2018
Plínio Valério;PSDB;AM;2019
Raimundo Lira;PSD;PB;2019
Randolfe Rodrigues;REDE;AP;2019
Reguffe;S/Partido;DF;2019
Renan Calheiros;MDB;AL;2019
Ricardo Ferraço;PSDB;ES;2019
Renilde Bulhões;PROS;AL;2019
Roberto Requião;MDB;PR;2019
Roberto Rocha;PSDB;MA;2019
Rodrigo Cunha;PSDB;AL;2019
Rodrigo Pacheco;DEM;MG;2019
Rogério Carvalho;PT;SE;2019
Romário;PODE;RJ;2019
Romero Jucá;MDB;RR;2019
Rose de Freitas;PODE;ES;2019
Sérgio Petecão;PSD;AC;2019
Simone Tebet;MDB;MS;2019
Soraya Thronicke;PSL;MS;2019
Styvenson Valentim;PODE;RN;2019
Tasso Jereissati;PSDB;CE;2019
Telmário Mota;PROS;RR;2019
Valdir Raupp;MDB;RO;2019
Vanessa Grazziotin;PCdoB;AM;2019
Vanderlan Cardoso;PP;GO;2019
Veneziano Vital do Rêgo;PSB;PB;2019
Vicentinho Alves;PR;TO;2019
Waldemir Moka;MDB;MS;2019
Walter Pinheiro;S/Partido;BA;2019
Wellington Fagundes;PR;MT;2019
Weverton Rocha;PDT;MA;2019
Wilder Morais;DEM;GO;2019
Zé Santana;MDB;PI;2019
Zenaide Maia;PROS;RN;2019
Zequinha Marinho;PSC;PA;2019
Zezé Perrella;MDB;MG;2019